[2022-03-14 15:39:42.784] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.784] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.784] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.784] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.784] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.784] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.784] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.784] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.784] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.784] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.784] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.784] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.784] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.784] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.784] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.784] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.784] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.784] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.784] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.784] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.784] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.784] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
[2022-03-14 15:39:42.785] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00003\u0000.vscode\u0000/root/capsule/.vscode/launch.json\u0000","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/MAML_cmd/run_MAML_drugs0.sh' is beyond a symbolic link\n","exitCode":128}
